client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
00f046cd1abd7e	common_voice_id_20000001.mp3	05e82b3c6f23	Dia tidak sepenuhnya mempercayaiku.		2	0					id
018b3f1a0a941a	common_voice_id_20000002.mp3	dd457d82f974	Aku juga tidak mengerti.		2	0					id
02a1b3c5d7e9f1	common_voice_id_20000003.mp3	a1b2c3d4e5f6	Perpustakaan itu buka setiap hari Senin sampai Jumat.		3	0	twenties	male_masculine			id
03b2c4d6e8f0a2	common_voice_id_20000004.mp3	b2c3d4e5f6a7	Mereka berencana mengunjungi museum besok pagi.		2	0	thirties	female_feminine			id
04c3d5e7f9a1b3	common_voice_id_20000005.mp3	c3d4e5f6a7b8	Hujan turun sangat deras sore ini.		4	0	teens	male_masculine			id
05d4e6f8a0b2c4	common_voice_id_20000006.mp3	d4e5f6a7b8c9	Toko itu menjual berbagai macam buah-buahan.		2	0	fourties	female_feminine			id
06e5f7a9b1c3d5	common_voice_id_20000007.mp3	e5f6a7b8c9d0	Anak-anak bermain sepak bola di lapangan.		3	0	twenties	male_masculine			id
07f6a8b0c2d4e6	common_voice_id_20000008.mp3	f6a7b8c9d0e1	Kereta api tiba tepat waktu.		2	0	thirties	male_masculine			id
08a7b9c1d3e5f7	common_voice_id_20000009.mp3	a7b8c9d0e1f2	Dia sangat senang mendapat hadiah ulang tahun.		3	0	teens	female_feminine			id
09b8c0d2e4f6a8	common_voice_id_20000010.mp3	b8c9d0e1f2a3	Restoran itu terkenal dengan masakan Padangnya.		2	0	twenties	male_masculine			id
